rank,team,games,match_wins,match_draws,match_losses,match_points,board_wins,board_draws,board_losses,board_points,score_percent,direct_match_points,sonneborn_berger,performance_score,raw_performance_component,leaderboard_position_component,opponent_quality_component,average_opponent_strength,white_score_percent,black_score_percent
1,"gpt-6-astra",500,49,1,0,99.0,440,23,37,451.5,90.30,0.0,2211.5,88.22,0.90,1.00,0.88,0.63,92.00,88.60
2,"gpt-6-sol",500,42,3,5,87.0,392,39,69,411.5,82.30,0.0,1711.5,77.09,0.82,0.90,0.78,0.64,84.80,79.80
3,"gpt-5_6-sol",500,40,1,9,81.0,374,39,87,393.5,78.70,0.0,1472.5,71.46,0.79,0.80,0.74,0.64,79.40,78.00
4,"gpt-6-luna",500,36,1,13,73.0,347,40,113,367.0,73.40,0.0,1174.5,64.24,0.73,0.70,0.68,0.65,75.60,71.20
5,"gpt-5_6-terra",500,30,0,20,60.0,294,47,159,317.5,63.50,0.0,750.0,52.84,0.64,0.60,0.56,0.66,65.60,61.40
6,"grok-4_6",500,25,0,25,50.0,265,30,205,280.0,56.00,0.0,500.0,44.60,0.56,0.50,0.48,0.66,58.60,53.40
7,"DeepSeek-V4-Flash",500,18,1,31,37.0,131,52,317,157.0,31.40,0.0,265.5,22.91,0.31,0.40,0.25,0.68,32.60,30.20
8,"gpt-5_6-luna",500,16,1,33,33.0,129,39,332,148.5,29.70,0.0,205.5,21.00,0.30,0.30,0.24,0.68,29.20,30.20
9,"DeepSeek-V4-Pro",500,8,0,42,16.0,70,39,391,89.5,17.90,0.0,54.0,11.95,0.18,0.20,0.14,0.69,16.80,19.00
10,"Mistral-Large-3",500,3,2,45,8.0,50,38,412,69.0,13.80,0.0,44.0,8.85,0.14,0.10,0.11,0.70,12.80,14.80
11,"grok-4_3",500,2,2,46,6.0,49,32,419,65.0,13.00,0.0,24.0,8.07,0.13,0.00,0.10,0.70,13.20,12.80
