ChessLLMBench Team Tournament

Teams: 11
Players: 110
Games: 2750/2750
Time Controls: 10+0.1

Team standings
Rank Team                        MPBoard Pts      MW     MD     ML    Perf.
1    gpt-6-astra               99.0    451.5      49      1      0    88.22
2    gpt-6-sol                 87.0    411.5      42      3      5    77.09
3    gpt-5_6-sol               81.0    393.5      40      1      9    71.46
4    gpt-6-luna                73.0    367.0      36      1     13    64.24
5    gpt-5_6-terra             60.0    317.5      30      0     20    52.84
6    grok-4_6                  50.0    280.0      25      0     25    44.60
7    DeepSeek-V4-Flash         37.0    157.0      18      1     31    22.91
8    gpt-5_6-luna              33.0    148.5      16      1     33    21.00
9    DeepSeek-V4-Pro           16.0     89.5       8      0     42    11.95
10   Mistral-Large-3            8.0     69.0       3      2     45     8.85
11   grok-4_3                   6.0     65.0       2      2     46     8.07

Individual player performance
Rank Player                         Games     W     D     L    Points   Score%    Perf.
1    gpt-6-astra/board_10              50    49     1     0      49.5    99.00    98.78
2    gpt-6-astra/board_07              50    48     2     0      49.0    98.00    97.30
3    gpt-6-astra/board_06              50    47     3     0      48.5    97.00    95.91
4    gpt-6-astra/board_09              50    47     2     1      48.0    96.00    94.35
5    gpt-6-astra/board_03              50    46     3     1      47.5    95.00    92.92
6    gpt-6-astra/board_04              50    45     4     1      47.0    94.00    91.72
7    gpt-6-astra/board_08              50    45     3     2      46.5    93.00    90.17
8    gpt-6-astra/board_01              50    45     1     4      45.5    91.00    87.56
8    gpt-6-astra/board_02              50    45     1     4      45.5    91.00    87.69
10   gpt-6-sol/board_05                50    41     5     4      43.5    87.00    83.09
11   gpt-6-sol/board_07                50    41     2     7      42.0    84.00    79.26
12   gpt-6-sol/board_03                50    41     1     8      41.5    83.00    78.02
12   gpt-6-sol/board_04                50    38     7     5      41.5    83.00    77.57
14   gpt-5_6-sol/board_02              50    40     2     8      41.0    82.00    76.31
14   gpt-5_6-sol/board_09              50    40     2     8      41.0    82.00    77.04
14   gpt-6-luna/board_10               50    39     4     7      41.0    82.00    77.12
14   gpt-6-sol/board_08                50    39     4     7      41.0    82.00    76.87
