rank,bot,games,wins,draws,losses,points,score_percent,performance_score,raw_performance_component,leaderboard_position_component,opponent_quality_component,average_opponent_strength,white_score_percent,black_score_percent,"10+0.1_points","10+0.1_score_percent",timeout_losses,illegal_move_losses,crash_losses,memory_limit_losses,average_move_time_ms,peak_memory_bytes,rating_estimate,rating_95_ci
1,"gpt-6-astra/board_10",50,49,1,0,49.5,99.00,98.78,0.99,1.00,0.99,0.47,100.00,98.33,49.5,99.00,0,0,0,0,323.04,29560832,2179.59,347.30
2,"gpt-6-astra/board_07",50,48,2,0,49.0,98.00,97.30,0.98,0.99,0.97,0.53,97.50,98.33,49.0,98.00,0,0,0,0,336.29,25079808,2107.41,285.00
3,"gpt-6-astra/board_06",50,47,3,0,48.5,97.00,95.91,0.97,0.98,0.96,0.51,97.50,95.00,48.5,97.00,0,0,0,0,276.71,40775680,2055.67,248.07
4,"gpt-6-astra/board_09",50,47,2,1,48.0,96.00,94.35,0.96,0.97,0.94,0.48,97.73,94.64,48.0,96.00,0,0,0,0,305.11,30400512,2015.12,223.02
5,"gpt-6-astra/board_03",50,46,3,1,47.5,95.00,92.92,0.95,0.96,0.93,0.48,94.64,95.45,47.5,95.00,0,0,0,0,239.56,35155968,1981.65,204.65
6,"gpt-6-astra/board_04",50,45,4,1,47.0,94.00,91.72,0.94,0.95,0.92,0.43,92.50,95.00,47.0,94.00,0,0,0,0,269.62,10096640,1953.05,190.46
7,"gpt-6-astra/board_08",50,45,3,2,46.5,93.00,90.17,0.93,0.94,0.90,0.50,96.88,91.18,46.5,93.00,0,0,0,0,321.41,25079808,1928.02,179.10
8,"gpt-6-astra/board_01",50,45,1,4,45.5,91.00,87.56,0.91,0.94,0.88,0.45,93.06,85.71,45.5,91.00,0,0,0,0,229.80,44761088,1885.52,161.93
8,"gpt-6-astra/board_02",50,45,1,4,45.5,91.00,87.69,0.91,0.94,0.88,0.42,96.15,85.42,45.5,91.00,0,0,0,0,294.32,29589504,1885.52,161.93
10,"gpt-6-sol/board_05",50,41,5,4,43.5,87.00,83.09,0.87,0.92,0.86,0.57,86.96,87.04,43.5,87.00,0,0,0,0,234.98,30924800,1819.34,139.93
11,"gpt-6-sol/board_07",50,41,2,7,42.0,84.00,79.26,0.84,0.91,0.81,0.48,98.08,68.75,42.0,84.00,0,0,0,0,209.42,25079808,1779.59,129.21
12,"gpt-6-sol/board_03",50,41,1,8,41.5,83.00,78.02,0.83,0.90,0.80,0.43,85.71,79.55,41.5,83.00,0,0,0,0,192.10,38408192,1767.60,126.31
12,"gpt-6-sol/board_04",50,38,7,5,41.5,83.00,77.57,0.83,0.90,0.77,0.50,80.00,87.50,41.5,83.00,0,0,0,0,216.21,31703040,1767.60,126.31
14,"gpt-5_6-sol/board_02",50,40,2,8,41.0,82.00,76.31,0.82,0.88,0.77,0.50,91.67,73.08,41.0,82.00,0,0,0,0,259.78,25079808,1756.13,123.68
14,"gpt-5_6-sol/board_09",50,40,2,8,41.0,82.00,77.04,0.82,0.88,0.82,0.51,83.93,79.55,41.0,82.00,0,0,0,0,274.82,25079808,1756.13,123.68
14,"gpt-6-luna/board_10",50,39,4,7,41.0,82.00,77.12,0.82,0.88,0.82,0.50,82.76,80.95,41.0,82.00,0,0,0,0,260.94,29274112,1756.13,123.68
14,"gpt-6-sol/board_08",50,39,4,7,41.0,82.00,76.87,0.82,0.88,0.81,0.44,89.58,75.00,41.0,82.00,0,0,0,0,243.77,35860480,1756.13,123.68
18,"gpt-6-sol/board_01",50,39,3,8,40.5,81.00,74.99,0.81,0.84,0.78,0.43,80.77,81.25,40.5,81.00,0,0,0,0,268.05,38281216,1745.11,121.28
18,"gpt-6-sol/board_02",50,38,5,7,40.5,81.00,75.27,0.81,0.84,0.80,0.47,83.33,78.85,40.5,81.00,0,0,0,0,232.30,29270016,1745.11,121.28
18,"gpt-6-sol/board_09",50,39,3,8,40.5,81.00,74.26,0.81,0.84,0.74,0.46,82.14,79.55,40.5,81.00,0,0,0,0,260.31,25079808,1745.11,121.28
18,"gpt-6-sol/board_10",50,38,5,7,40.5,81.00,74.68,0.81,0.84,0.77,0.49,80.43,81.48,40.5,81.00,0,0,0,0,241.32,12128256,1745.11,121.28
22,"gpt-5_6-sol/board_05",50,39,2,9,40.0,80.00,72.66,0.80,0.81,0.73,0.46,75.00,88.89,40.0,80.00,0,0,0,0,261.77,38236160,1734.51,119.09
22,"gpt-5_6-sol/board_10",50,37,6,7,40.0,80.00,73.29,0.80,0.81,0.77,0.51,77.78,82.61,40.0,80.00,0,0,0,0,243.73,29679616,1734.51,119.09
22,"gpt-6-sol/board_06",50,38,4,8,40.0,80.00,73.21,0.80,0.81,0.77,0.46,80.56,79.69,40.0,80.00,0,0,0,0,238.60,29274112,1734.51,119.09
25,"gpt-5_6-sol/board_01",50,37,5,8,39.5,79.00,71.25,0.79,0.78,0.73,0.52,93.48,66.67,39.5,79.00,0,0,0,0,272.73,25079808,1724.27,117.07
25,"gpt-5_6-sol/board_03",50,38,3,9,39.5,79.00,70.55,0.79,0.78,0.69,0.47,71.15,87.50,39.5,79.00,0,0,0,0,236.53,30334976,1724.27,117.07
25,"gpt-5_6-sol/board_07",50,37,5,8,39.5,79.00,71.24,0.79,0.78,0.73,0.49,73.91,83.33,39.5,79.00,0,0,0,0,253.53,29724672,1724.27,117.07
25,"gpt-6-luna/board_02",50,35,9,6,39.5,79.00,71.63,0.79,0.78,0.75,0.49,76.19,81.03,39.5,79.00,0,0,0,0,261.20,16302080,1724.27,117.07
29,"gpt-6-luna/board_03",50,38,2,10,39.0,78.00,69.66,0.78,0.74,0.72,0.51,85.71,72.41,39.0,78.00,0,0,0,0,247.23,36392960,1714.36,115.22
