bot,"gpt-6-astra","gpt-6-sol","gpt-5_6-sol","gpt-6-luna","gpt-5_6-terra","grok-4_6","DeepSeek-V4-Flash","gpt-5_6-luna","DeepSeek-V4-Pro","Mistral-Large-3","grok-4_3"
"gpt-6-astra",,34.0,39.0,41.5,44.0,45.0,48.0,50.0,50.0,50.0,50.0
"gpt-6-sol",16.0,,27.5,34.0,41.0,45.0,49.0,49.5,49.5,50.0,50.0
"gpt-5_6-sol",11.0,22.5,,31.5,40.5,41.5,49.5,47.0,50.0,50.0,50.0
"gpt-6-luna",8.5,16.0,18.5,,37.5,40.0,48.0,49.5,49.5,50.0,49.5
"gpt-5_6-terra",6.0,9.0,9.5,12.5,,35.5,49.0,47.0,49.5,49.5,50.0
"grok-4_6",5.0,5.0,8.5,10.0,14.5,,45.5,44.5,48.0,50.0,49.0
"DeepSeek-V4-Flash",2.0,1.0,0.5,2.0,1.0,4.5,,26.5,39.0,41.0,39.5
"gpt-5_6-luna",0.0,0.5,3.0,0.5,3.0,5.5,23.5,,37.0,36.0,39.5
"DeepSeek-V4-Pro",0.0,0.5,0.0,0.5,0.5,2.0,11.0,13.0,,29.0,33.0
"Mistral-Large-3",0.0,0.0,0.0,0.0,0.5,0.0,9.0,14.0,21.0,,24.5
"grok-4_3",0.0,0.0,0.0,0.5,0.0,1.0,10.5,10.5,17.0,25.5,
